channel,time
15,244.92
15,244.92
15,244.93
15,244.93
15,244.93
15,244.93
15,244.93
15,244.93
15,244.94
15,244.94
15,247.98
15,247.98
15,247.98
15,247.99
15,247.99
15,247.99
15,247.99
15,248
15,248
15,248
15,248
15,248.01
15,248.01
15,248.01
15,248.02
15,250.88
15,250.88
15,250.88
15,250.89
15,250.89
15,250.89
15,250.89
15,250.9
15,250.9
15,250.9
15,250.9
15,250.9
15,250.91
15,250.91
15,250.92
15,253.47
15,253.47
15,253.47
15,253.48
15,253.48
15,253.48
15,253.48
15,253.48
15,253.49
15,253.49
15,253.49
15,253.5
15,253.5
15,253.53
15,253.55
15,255.78
15,255.78
15,255.78
15,255.79
15,255.79
15,255.79
15,255.79
15,255.8
15,255.8
15,255.8
15,255.8
15,255.81
15,255.81
15,255.81
15,256.24
15,256.25
15,256.25
15,256.26
15,256.26
15,256.26
15,256.26
15,256.26
15,256.27
15,256.27
15,256.27
15,256.28
15,256.28
15,256.29
15,256.29
15,256.3
15,256.3
15,256.85
15,256.86
15,256.86
15,256.86
15,256.86
15,256.86
15,256.87
15,256.87
15,256.87
15,256.87
15,256.88
15,256.88
15,256.88
15,256.88
15,256.88
15,256.89
15,257.23
15,257.23
15,257.23
15,257.24
15,257.24
15,257.24
15,257.25
15,257.25
15,257.25
15,257.27
15,257.28
15,257.82
15,257.82
15,257.82
15,257.82
15,257.83
15,257.83
15,257.83
15,257.83
15,257.84
15,257.85
15,257.85
15,257.85
15,258.16
15,263.64
15,263.64
15,263.65
15,263.65
15,263.65
15,263.65
15,263.66
15,263.66
15,263.66
15,263.66
15,263.66
15,263.67
15,263.67
15,263.67
15,263.68
15,263.68
15,263.69
15,263.69
15,267.47
15,267.48
15,267.48
15,267.48
15,267.48
15,267.49
15,267.49
15,267.49
15,267.49
15,267.49
15,267.49
15,267.5
15,267.5
15,267.5
15,267.5
15,271.45
15,271.45
15,271.46
15,271.46
15,271.46
15,271.46
15,271.47
15,271.47
15,271.47
15,271.47
15,271.47
15,271.48
15,271.48
15,271.48
15,271.48
15,271.49
15,271.49
15,271.49
15,275.21
15,275.21
15,275.21
15,275.22
15,275.22
15,275.22
15,275.23
15,275.23
15,275.23
15,275.23
15,275.23
15,275.23
15,275.24
15,275.24
15,275.24
15,275.25
15,278.96
15,278.97
15,278.97
15,278.97
15,278.97
15,278.98
15,278.98
15,278.98
15,278.98
15,278.99
15,278.99
15,278.99
15,278.99
15,279
15,279
15,279
15,279.01
15,282.55
15,282.55
15,282.55
15,282.56
15,282.56
15,282.56
15,282.56
15,282.57
15,282.57
15,282.57
15,282.58
15,282.58
15,282.58
15,282.6
15,286.02
15,286.03
15,286.03
15,286.03
15,286.04
15,286.04
15,286.04
15,286.04
15,286.05
15,286.05
15,286.05
15,286.05
15,286.05
15,286.06
15,286.06
15,286.07
15,286.07
15,288.58
15,288.58
15,288.59
15,288.59
15,288.59
15,288.59
15,288.59
15,288.6
15,288.6
15,288.6
15,288.6
15,288.6
15,288.61
15,288.61
15,288.61
15,288.64
15,291.68
15,291.68
15,291.68
15,291.68
15,291.68
15,291.69
15,291.69
15,291.69
15,291.69
15,291.7
15,291.7
15,291.7
15,291.7
15,291.71
15,291.71
15,291.71
15,294.88
15,294.88
15,294.88
15,294.89
15,294.89
15,294.89
15,294.89
15,294.89
15,294.9
15,294.9
15,294.9
15,294.9
15,294.91
15,294.91
15,294.92
15,294.93
15,294.93
15,298.2
15,298.2
15,298.21
15,298.21
15,298.21
15,298.21
15,298.22
15,298.22
15,298.22
15,298.22
15,298.22
15,298.23
15,298.23
15,298.24
15,298.24
15,298.24
15,298.24
15,298.25
15,298.25
16,1.015
16,1.0167
16,1.0256
16,1.4304
16,1.4328
16,8.1352
16,8.1509
16,12.414
16,12.416
16,12.43
16,16.473
16,16.485
16,16.834
16,22.813
16,22.816
16,22.828
16,26.832
16,26.836
16,26.842
16,27.313
16,27.325
16,27.912
16,27.921
16,27.946
16,28.84
16,28.855
16,35.542
16,35.546
16,35.552
16,40.308
16,40.314
16,40.325
16,44.71
16,44.711
16,44.722
16,44.724
16,48.913
16,48.926
16,48.932
16,52.688
16,52.698
16,52.701
16,56.419
16,56.421
16,56.429
16,60.153
